month,anomaly_c,Temp_C,Temp_F
1929-12-01,-0.54,13.46,56.23
1930-01-01,-0.3,13.7,56.66
1930-02-01,-0.26,13.74,56.73
1930-03-01,-0.1,13.9,57.02
1930-04-01,-0.24,13.76,56.77
1930-05-01,-0.24,13.76,56.77
1930-06-01,-0.22,13.78,56.8
1930-07-01,-0.21,13.79,56.82
1930-08-01,-0.15,13.85,56.93
1930-09-01,-0.16,13.84,56.91
1930-10-01,-0.12,13.88,56.98
1930-11-01,0.18,14.18,57.52
1930-12-01,-0.05,13.95,57.11
1931-01-01,-0.1,13.9,57.02
1931-02-01,-0.21,13.79,56.82
1931-03-01,-0.1,13.9,57.02
1931-04-01,-0.23,13.77,56.79
1931-05-01,-0.2,13.8,56.84
1931-06-01,-0.08,13.92,57.06
1931-07-01,-0.04,13.96,57.13
1931-08-01,-0.04,13.96,57.13
1931-09-01,-0.07,13.93,57.07
1931-10-01,0.06,14.06,57.31
1931-11-01,-0.06,13.94,57.09
1931-12-01,-0.05,13.95,57.11
1932-01-01,0.16,14.16,57.49
1932-02-01,-0.17,13.83,56.89
1932-03-01,-0.18,13.82,56.88
1932-04-01,-0.06,13.94,57.09
1932-05-01,-0.17,13.83,56.89
1932-06-01,-0.29,13.71,56.68
1932-07-01,-0.24,13.76,56.77
1932-08-01,-0.22,13.78,56.8
1932-09-01,-0.11,13.89,57
1932-10-01,-0.09,13.91,57.04
1932-11-01,-0.27,13.73,56.71
1932-12-01,-0.26,13.74,56.73
1933-01-01,-0.23,13.77,56.79
1933-02-01,-0.29,13.71,56.68
1933-03-01,-0.29,13.71,56.68
1933-04-01,-0.24,13.76,56.77
1933-05-01,-0.29,13.71,56.68
1933-06-01,-0.34,13.66,56.59
1933-07-01,-0.21,13.79,56.82
1933-08-01,-0.23,13.77,56.79
1933-09-01,-0.29,13.71,56.68
1933-10-01,-0.24,13.76,56.77
1933-11-01,-0.3,13.7,56.66
1933-12-01,-0.44,13.56,56.41
1934-01-01,-0.2,13.8,56.84
1934-02-01,-0.02,13.98,57.16
1934-03-01,-0.28,13.72,56.7
1934-04-01,-0.3,13.7,56.66
1934-05-01,-0.09,13.91,57.04
1934-06-01,-0.15,13.85,56.93
1934-07-01,-0.1,13.9,57.02
1934-08-01,-0.11,13.89,57
1934-09-01,-0.15,13.85,56.93
1934-10-01,-0.06,13.94,57.09
1934-11-01,0.04,14.04,57.27
1934-12-01,-0.02,13.98,57.16
1935-01-01,-0.34,13.66,56.59
1935-02-01,0.14,14.14,57.45
1935-03-01,-0.14,13.86,56.95
1935-04-01,-0.37,13.63,56.53
1935-05-01,-0.28,13.72,56.7
1935-06-01,-0.26,13.74,56.73
1935-07-01,-0.21,13.79,56.82
1935-08-01,-0.22,13.78,56.8
1935-09-01,-0.21,13.79,56.82
1935-10-01,-0.05,13.95,57.11
1935-11-01,-0.25,13.75,56.75
1935-12-01,-0.16,13.84,56.91
1936-01-01,-0.27,13.73,56.71
1936-02-01,-0.37,13.63,56.53
1936-03-01,-0.2,13.8,56.84
1936-04-01,-0.2,13.8,56.84
1936-05-01,-0.16,13.84,56.91
1936-06-01,-0.21,13.79,56.82
1936-07-01,-0.09,13.91,57.04
1936-08-01,-0.13,13.87,56.97
1936-09-01,-0.09,13.91,57.04
1936-10-01,-0.02,13.98,57.16
1936-11-01,0.02,14.02,57.24
1936-12-01,0,14,57.2
1937-01-01,-0.07,13.93,57.07
1937-02-01,0.03,14.03,57.25
1937-03-01,-0.2,13.8,56.84
1937-04-01,-0.15,13.85,56.93
1937-05-01,-0.05,13.95,57.11
1937-06-01,-0.05,13.95,57.11
1937-07-01,-0.03,13.97,57.15
1937-08-01,0.02,14.02,57.24
1937-09-01,0.09,14.09,57.36
1937-10-01,0.09,14.09,57.36
1937-11-01,0.08,14.08,57.34
1937-12-01,-0.07,13.93,57.07
1938-01-01,0.09,14.09,57.36
1938-02-01,0.04,14.04,57.27
